Institue Id,NAME OF THE INSTITUTE,TLR,RPC,GO,OI,Perception,CITY,State,SCORE,RANK,Year
,,,,,,,,,,,
IR-E-U-0456,Indian Institute of Technology Madras,94.61,97.66,80.42,62.85,100,Chennai,Tamil Nadu,90.04,1,2022
IR-E-I-1074,"Indian Institute of Technology, Delhi",86.94,96.01,83.42,68.56,96.92,New Delhi,Delhi,88.12,2,2022
IR-E-U-0306,"Indian Institute of Technology, Bombay",87.53,90.82,79.19,57.37,88.7,Mumbai,Maharashtra,83.96,3,2022
IR-E-I-1075,Indian Institute of Technology Kanpur,87.95,79.98,89.7,59.47,83.01,Kanpur,,82.56,4,2022
IR-E-U-0573,"Indian Institute of Technology, Kharagpur",79.21,84.6,80.91,53.08,82.63,Kharagpur,,78.89,5,2022
IR-E-U-0560,"Indian Institute of Technology, Roorkee",75.98,78.11,90.13,63.09,61.36,Roorkee,,76.7,6,2022
IR-E-U-0053,Indian Institute of Technology Guwahati,75.89,72.89,84.64,56.9,57.15,Guwahati,Assam,72.98,7,2022
IR-E-U-0467,"National Institute of Technology, Tiruchirappalli",76.39,58.44,79.17,64.48,64.38,Tiruchirappalli,Tamil Nadu,69.17,8,2022
IR-E-U-0013,Indian Institute of Technology Hyderabad,80.31,59.89,72.4,54.85,59.96,Hyderabad,Telangana,68.03,9,2022
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",72.86,56.42,77.7,63.89,53.24,Surathkal,,66.04,10,2022
IR-E-U-0575,Jadavpur University,71.38,64.42,78.12,52.34,40.97,Kolkata,,65.68,11,2022
IR-E-U-0490,Vellore Institute of Technology,62.54,73.3,69.45,59.27,49.6,Vellore,Tamil Nadu,65.53,12,2022
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,62.62,57.26,81.72,56.06,55.89,Varanasi,,63.51,13,2022
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),68.7,65.37,71.17,54.35,36.23,Dhanbad,,63.5,14,2022
IR-E-U-0357,National Institute of Technology Rourkela,73.39,59.45,71.8,57.08,24.43,Rourkela,,62.36,15,2022
IR-E-U-0273,Indian Institute of Technology Indore,76.28,56.75,70.38,52.48,24.43, Indore,,61.68,16,2022
IR-E-U-0439,Anna University,64.33,64.59,57.8,48.87,62.83,Chennai,Tamil Nadu,61.41,17,2022
IR-E-U-0308,Institute of Chemical Technology,76.45,56.98,69.53,54.58,19.95,Mumbai,,61.4,18,2022
IR-E-U-0436,Amrita Vishwa Vidyapeetham,68.97,58.64,61.4,61.738,41.78,Coimbatore,Tamil Nadu,60.92,19,2022
IR-E-U-0184,"Indian Institute of Technology, Mandi",75.77,44.05,77.55,67.16,22.57,Mandi,,60.43,20,2022
IR-E-U-0025,National Institute of Technology Warangal,73.99,45.7,75.11,54.91,35.77,Warangal,,60,21,2022
IR-E-U-0378,Indian Institute of Technology Ropar,81.07,38.79,68.76,63.67,30.87,Rupnagar,,59.16,22,2022
